date,price
2021-02-11,0.884518
2021-02-12,0.882562
2021-02-15,0.869154
2021-02-16,0.861682
2021-02-17,0.857732
2021-02-18,0.851363
2021-02-19,0.843735
2021-02-22,0.84131
2021-02-23,0.853599
2021-02-24,0.865255
2021-02-25,0.876547
2021-02-26,0.873459
2021-03-01,0.88347
2021-03-02,0.862949
2021-03-03,0.857761
2021-03-04,0.861124
2021-03-05,0.865545
2021-03-08,0.864363
2021-03-09,0.87417
2021-03-10,0.880434
2021-03-11,0.879417
2021-03-12,0.875807
2021-03-15,0.877111
2021-03-16,0.88095
2021-03-17,0.878893
2021-03-18,0.881531
2021-03-19,0.86912
2021-03-22,0.853453
2021-03-23,0.92678
2021-03-24,0.916261
2021-03-25,0.930959
2021-03-26,0.930781
2021-03-29,0.936986
2021-03-30,0.947263
2021-03-31,0.950366
2021-04-01,0.950082
2021-04-02,0.948514
2021-04-05,0.939693
2021-04-06,0.94695
2021-04-07,0.956265
2021-04-08,0.960785
2021-04-09,0.963326
2021-04-12,0.959033
2021-04-13,0.959204
2021-04-14,0.956185
2021-04-15,0.951167
2021-04-16,0.953785
2021-04-19,0.963022
2021-04-20,0.968541
2021-04-21,0.967775
2021-04-22,0.981239
2021-04-26,0.995776
2021-04-27,0.993576
2021-04-28,0.985833
2021-04-29,0.975605
2021-04-30,0.973768
2021-05-03,0.980348
2021-05-04,0.989473
2021-05-05,0.995264
2021-05-06,0.995594
2021-05-07,0.99734
2021-05-10,1.007963
2021-05-11,1.016756
2021-05-12,1.020911
2021-05-17,1.021527
2021-05-18,1.03771
2021-05-20,1.04065
2021-05-21,1.049804
2021-05-24,1.052015
2021-05-25,1.058364
2021-05-26,1.062575
2021-05-27,1.076419
2021-05-28,1.075608
2021-05-31,1.086552
2021-06-01,1.080502
2021-06-02,1.090237
2021-06-03,1.097857
2021-06-04,1.096736
2021-06-07,1.092318
2021-06-08,1.092228
2021-06-09,1.095228
2021-06-10,1.087988
2021-06-11,1.079431
2021-06-14,1.059868
2021-06-15,1.047787
2021-06-16,1.069341
2021-06-17,1.060326
2021-06-18,1.051256
2021-06-21,1.038983
2021-06-22,1.046123
2021-06-23,1.038556
2021-06-24,1.029308
2021-06-25,1.038872
2021-06-28,1.038325
2021-06-29,1.042128
2021-06-30,1.033206
2021-07-01,1.022338
2021-07-02,1.030115
2021-07-05,1.038851
2021-07-06,1.037847
2021-07-07,1.046321
2021-07-08,1.051971
2021-07-09,1.054732
2021-07-12,1.051727
2021-07-13,1.045819
2021-07-14,1.041734
2021-07-16,1.049541
2021-07-19,1.038882
2021-07-26,1.038463
2021-07-27,1.043469
2021-07-28,1.034405
2021-07-29,1.033941
2021-07-30,1.036228
2021-08-02,1.03365
2021-08-03,1.019275
2021-08-04,1.010726
2021-08-05,1.026313
2021-08-06,1.040704
2021-08-09,1.034072
2021-08-10,1.0167
2021-08-11,1.004593
2021-08-12,1.002758
2021-08-13,1.008551
2021-08-16,1.008134
2021-08-17,1.01067
2021-08-18,1.009958
2021-08-19,1.017991
2021-08-20,1.021027
2021-08-23,1.017842
2021-08-24,1.014422
2021-08-25,1.016391
2021-08-26,1.010422
2021-08-27,1.006003
2021-08-31,1.008555
2021-09-01,1.010392
2021-09-02,1.009784
2021-09-03,1.006765
2021-09-06,1.012524
2021-09-07,1.009917
2021-09-08,1.011005
2021-09-09,1.014336
2021-09-10,1.016884
2021-09-13,1.013918
2021-09-14,1.01413
2021-09-15,1.008464
2021-09-16,1.013602
2021-09-17,1.009485
2021-09-20,1.0112
2021-09-21,1.01991
2021-09-22,1.021469
2021-09-23,1.028917
2021-09-24,1.027416
2021-09-27,1.040907
2021-09-28,1.037309
2021-09-29,1.032761
2021-09-30,1.02926
2021-10-01,1.033428
2021-10-04,1.035887
2021-10-05,1.041295
2021-10-06,1.042378
2021-10-07,1.047296
2021-10-08,1.046096
2021-10-11,1.051551
2021-10-12,1.055945
2021-10-13,1.06165
2021-10-14,1.069513
2021-10-15,1.10024
2021-10-18,1.101272
2021-10-19,1.097388
2021-10-20,1.103503
2021-10-21,1.107794
2021-10-22,1.119854
2021-10-25,1.156153
2021-10-26,1.179179
2021-10-27,1.147294
2021-10-28,1.144352
2021-11-01,1.145398
2021-11-02,1.14957
2021-11-03,1.151306
2021-11-04,1.161833
2021-11-05,1.163072
2021-11-08,1.174003
2021-11-09,1.186023
2021-11-10,1.190504
2021-11-11,1.204838
2021-11-12,1.215466
2021-11-15,1.233257
2021-11-16,1.244532
2021-11-17,1.272085
2021-11-18,1.294992
2021-11-19,1.338537
2021-11-22,1.37412
2021-11-23,1.382347
2021-11-24,1.484583
2021-11-25,1.511408
2021-11-26,1.44084
2021-11-29,1.462097
2021-11-30,1.520639
2021-12-01,1.552872
2021-12-02,1.593793
2021-12-03,1.595382
2021-12-06,1.619475
2021-12-07,1.635096
2021-12-08,1.62452
2021-12-09,1.626058
2021-12-10,1.638512
2021-12-13,1.638331
2021-12-14,1.6959
2021-12-15,1.692749
2021-12-16,1.731509
2021-12-17,1.814197
2021-12-20,1.960296
2021-12-21,2.091341
2021-12-22,1.544089
2021-12-23,1.477027
2021-12-24,1.363627
2021-12-27,1.402021
2021-12-28,1.360763
2021-12-29,1.420459
2021-12-30,1.465147
2021-12-31,1.548002
2022-01-03,1.598259
2022-01-04,1.611752
2022-01-05,1.577491
2022-01-06,1.605078
2022-01-07,1.618154
2022-01-10,1.624736
2022-01-11,1.627038
2022-01-12,1.640516
2022-01-13,1.644931
2022-01-14,1.628688
2022-01-17,1.62356
2022-01-18,1.619208
2022-01-19,1.6145
2022-01-20,1.620253
2022-01-21,1.615267
2022-01-24,1.615378
2022-01-25,1.621124
2022-01-26,1.634816
2022-01-27,1.636963
2022-01-28,1.622021
2022-01-31,1.609385
2022-02-01,1.579138
2022-02-02,1.578726
2022-02-03,1.594054
2022-02-04,1.609851
2022-02-07,1.606613
2022-02-08,1.610395
2022-02-09,1.625202
2022-02-10,1.632944
2022-02-11,1.634123
2022-02-14,1.616108
2022-02-15,1.640557
2022-02-16,1.659998
2022-02-17,1.654905
2022-02-18,1.683155
2022-02-21,1.690931
2022-02-22,1.688141
2022-02-23,1.708933
2022-02-24,1.718747
2022-02-25,1.817749
2022-02-28,1.772798
2022-03-01,1.720661
2022-03-02,1.746883
2022-03-03,1.771779
2022-03-04,1.773954
2022-03-07,1.809256
2022-03-08,1.863205
2022-03-09,1.910698
2022-03-10,1.931354
2022-03-11,1.909967
2022-03-14,1.94845
2022-03-15,1.90599
2022-03-16,1.86942
2022-03-17,1.848494
2022-03-18,1.861314
2022-03-21,1.87107
2022-03-22,1.877652
2022-03-23,1.878343
2022-03-24,1.878247
2022-03-25,1.894063
2022-03-28,1.903156
2022-03-29,1.885163
2022-03-30,1.856302
2022-03-31,1.844813
2022-04-01,1.854587
2022-04-04,1.848352
2022-04-05,1.856676
2022-04-06,1.857721
2022-04-07,1.857897
2022-04-08,1.868924
2022-04-11,1.86216
2022-04-12,1.88622
2022-04-13,1.877111
2022-04-14,1.87959
2022-04-15,1.883446
2022-04-18,1.888262
2022-04-19,1.903225
2022-04-20,1.889119
2022-04-21,1.864025
2022-04-22,1.868248
2022-04-25,1.866419
2022-04-26,1.847826
2022-04-27,1.835893
2022-04-28,1.833251
2022-04-29,1.812969
2022-05-05,1.838746
2022-05-06,1.835532
2022-05-09,1.829094
2022-05-10,1.823701
2022-05-11,1.845768
2022-05-12,1.849851
2022-05-13,1.851328
2022-05-16,1.835653
2022-05-17,1.82753
2022-05-18,1.87531
2022-05-20,1.884002
2022-05-23,1.911043
2022-05-24,1.913871
2022-05-25,1.937971
2022-05-26,1.962726
2022-05-27,1.96356
2022-05-30,1.983814
2022-05-31,1.97429
2022-06-01,1.977507
2022-06-02,1.956531
2022-06-03,1.985084
2022-06-06,2.001013
2022-06-07,1.994065
2022-06-08,2.017653
2022-06-09,2.058983
2022-06-10,2.071341
2022-06-13,2.05396
2022-06-14,2.073827
2022-06-15,2.052245
2022-06-16,2.0426
2022-06-17,2.060649
2022-06-20,2.072723
2022-06-21,2.069151
2022-06-22,2.067347
2022-06-23,2.063444
2022-06-24,2.067885
2022-06-27,2.06263
2022-06-28,1.990057
2022-06-29,1.977981
2022-06-30,1.976513
2022-07-01,1.974035
2022-07-04,1.960216
2022-07-05,1.983934
2022-07-06,1.995071
2022-07-07,1.977444
2022-07-08,1.982355
2022-07-13,1.981967
2022-07-14,1.975612
2022-07-18,1.974854
2022-07-19,1.954211
2022-07-20,1.977702
2022-07-21,1.976436
2022-07-22,1.965019
2022-07-25,2.006955
2022-07-26,2.018668
2022-07-27,2.018862
2022-07-28,2.026047
2022-07-29,2.053521
2022-08-01,2.074731
2022-08-02,2.080556
2022-08-03,2.096727
2022-08-04,2.093148
2022-08-05,2.1009
2022-08-08,2.103615
2022-08-09,2.099389
2022-08-10,2.114643
2022-08-11,2.113911
2022-08-12,2.112418
2022-08-15,2.113251
2022-08-16,2.110487
2022-08-17,2.104963
2022-08-18,2.101037
2022-08-19,2.099564
2022-08-22,2.100084
2022-08-23,2.070767
2022-08-24,2.083156
2022-08-25,2.094748
2022-08-26,2.112701
2022-08-29,2.09819
2022-08-31,2.071962
2022-09-01,2.059022
2022-09-02,2.046655
2022-09-05,2.056879
2022-09-06,2.0562
2022-09-07,2.058692
2022-09-08,2.058542
2022-09-09,2.071198
2022-09-12,2.070004
2022-09-13,2.074416
2022-09-14,2.074583
2022-09-15,2.055388
2022-09-16,2.03119
2022-09-19,2.009029
2022-09-20,2.013662
2022-09-21,2.018918
2022-09-22,2.023474
2022-09-23,2.025
2022-09-26,2.008846
2022-09-27,2.005082
2022-09-28,2.003499
2022-09-29,1.996109
2022-09-30,2.017499
2022-10-03,2.046916
2022-10-04,2.043809
2022-10-05,2.092136
2022-10-06,2.100728
2022-10-07,2.107473
2022-10-10,2.097302
2022-10-11,2.063034
2022-10-12,2.050341
2022-10-13,2.04356
2022-10-14,2.046441
2022-10-17,2.029124
2022-10-18,2.027774
