code,fund_name,start_date,end_date,n_obs,beta,correlation,tracking_error_ann,mean_excess_ann,latest_spread,latest_z,latest_long_position,beta_distance_from_1,corr_score,beta_score,te_score,tracking_quality_score,tracking_rank
MKG,AKTİF PORTFÖY ALTIN KATILIM FONU,2021-02-11,2026-02-06,1252,0.5048626641022675,0.5441103847490398,0.22183837865794645,-0.00539835612899005,-0.01032147842115183,-2.986914808616961,1,0.49513733589773246,1.0,0.7352941176470589,0.7941176470588235,0.8431372549019608,1
HBF,HSBC PORTFÖY ALTIN FONU,2021-02-11,2026-02-06,1252,0.528911961988936,0.5387194051208191,0.22887837108646766,-0.025387859790521945,-0.1258791186853685,-2.325585540014357,1,0.471088038011064,0.9705882352941176,0.9411764705882353,0.5882352941176471,0.8333333333333334,2
TCA,ZİRAAT PORTFÖY ALTIN KATILIM FONU,2021-02-11,2026-02-06,1252,0.5181810385817025,0.5341870496801697,0.2286903374446062,-0.02242507221545129,-0.1074676006102182,-3.000131720809921,1,0.4818189614182975,0.9411764705882353,0.8529411764705882,0.6176470588235294,0.8039215686274509,3
TTA,İŞ PORTFÖY ALTIN FONU,2021-02-11,2026-02-06,1252,0.5184643468540506,0.5330617143752493,0.22925139142977652,-0.03249222382354805,-0.15795181491178356,-3.1541525262762415,1,0.48153565314594937,0.9117647058823529,0.8823529411764706,0.5588235294117647,0.784313725490196,4
OJK,QNB PORTFÖY ALTIN FONU,2021-09-01,2026-02-06,1117,0.535633207103211,0.5229312169436353,0.23744943986183062,-0.01344519017752816,inf,,0,0.46436679289678895,0.8823529411764706,0.9705882352941176,0.35294117647058826,0.7352941176470589,5
NJF,NUROL PORTFÖY ALTIN KATILIM FONU,2021-10-05,2026-02-06,1093,0.48243604216632363,0.521545580462524,0.22755445234987712,-0.0344655536559447,inf,,0,0.5175639578336764,0.8529411764705882,0.47058823529411764,0.6764705882352942,0.6666666666666666,6
RPG,ROTA PORTFÖY ALTIN FONU,2022-04-26,2026-02-06,949,0.466340066814934,0.4939496223846277,0.17831227701419783,-0.06344760404136592,inf,,0,0.533659933185066,0.5588235294117647,0.4411764705882353,1.0,0.6666666666666666,6
GGK,INVEO PORTFÖY ALTIN FON,2021-02-11,2026-02-06,1252,0.5108267058300962,0.5154291095634633,0.2356575438433252,-0.005882036889275442,-0.03148312400169795,-1.9791959308317015,1,0.48917329416990385,0.7352941176470589,0.7941176470588235,0.4411764705882353,0.6568627450980392,8
OGD,OYAK PORTFÖY ALTIN KATILIM FONU,2021-02-11,2026-02-06,1252,0.4825980441585413,0.5198092666080649,0.22769550704001593,-0.04649791806240963,-0.2132546445251413,-2.9443561201958772,1,0.5174019558414586,0.8235294117647058,0.5,0.6470588235294118,0.6568627450980392,8
RBA,ALBARAKA PORTFÖY BEREKET VAKFI NA DESTEK ALTIN KATILIM FONU,2021-02-11,2026-02-06,1252,0.4548145315822205,0.5197741059053829,0.2224659761414771,-0.048596883534273216,-0.20862653415322008,-1.9041448392456164,1,0.5451854684177795,0.7941176470588235,0.4117647058823529,0.7647058823529411,0.6568627450980392,8
TUA,TEB PORTFÖY ALTIN FONU,2021-02-11,2026-02-06,1252,0.5043649918210437,0.5162433206690018,0.23383668952582212,-0.02041545187345206,-0.09844600318368579,-2.4807106568421657,1,0.49563500817895634,0.7647058823529411,0.7058823529411765,0.47058823529411764,0.6470588235294118,11
