date,price,code,fund_name
2021-02-11,0.092921,AFO,AK PORTFÖY ALTIN FONU
2021-02-11,0.050467,DBA,DENİZ PORTFÖY ALTIN FONU
2021-02-11,0.034488,FIB,FİBA PORTFÖY ALTIN FONU
2021-02-11,0.884518,GGK,INVEO PORTFÖY ALTIN FON
2021-02-11,0.115224,GTA,GARANTİ PORTFÖY ALTIN FONU
2021-02-11,3.498439,HBF,HSBC PORTFÖY ALTIN FONU
2021-02-11,0.039857,ICA,ICBC TURKEY PORTFÖY ALTIN FONU
2021-02-11,1.691384,KZL,KUVEYT TÜRK PORTFÖY ALTIN KATILIM FONU
2021-02-11,1.056649,MKG,AKTİF PORTFÖY ALTIN KATILIM FONU
2021-02-11,0.864025,OGD,OYAK PORTFÖY ALTIN KATILIM FONU
2021-02-11,1.637341,RBA,ALBARAKA PORTFÖY BEREKET VAKFI NA DESTEK ALTIN KATILIM FONU
2021-02-11,0.055216,TCA,ZİRAAT PORTFÖY ALTIN KATILIM FONU
2021-02-11,0.045327,TTA,İŞ PORTFÖY ALTIN FONU
2021-02-11,0.098061,TUA,TEB PORTFÖY ALTIN FONU
2021-02-11,0.058594,YKT,YAPI KREDİ PORTFÖY ALTIN FONU
2021-02-12,0.092783,AFO,AK PORTFÖY ALTIN FONU
2021-02-12,0.050391,DBA,DENİZ PORTFÖY ALTIN FONU
2021-02-12,0.034431,FIB,FİBA PORTFÖY ALTIN FONU
2021-02-12,0.882562,GGK,INVEO PORTFÖY ALTIN FON
2021-02-12,0.115042,GTA,GARANTİ PORTFÖY ALTIN FONU
2021-02-12,3.493908,HBF,HSBC PORTFÖY ALTIN FONU
2021-02-12,0.039799,ICA,ICBC TURKEY PORTFÖY ALTIN FONU
2021-02-12,1.688788,KZL,KUVEYT TÜRK PORTFÖY ALTIN KATILIM FONU
2021-02-12,1.055015,MKG,AKTİF PORTFÖY ALTIN KATILIM FONU
2021-02-12,0.86261,OGD,OYAK PORTFÖY ALTIN KATILIM FONU
2021-02-12,1.635285,RBA,ALBARAKA PORTFÖY BEREKET VAKFI NA DESTEK ALTIN KATILIM FONU
2021-02-12,0.055129,TCA,ZİRAAT PORTFÖY ALTIN KATILIM FONU
2021-02-12,0.045256,TTA,İŞ PORTFÖY ALTIN FONU
2021-02-12,0.097912,TUA,TEB PORTFÖY ALTIN FONU
