date,AFO,BLT,DBA,FIB,GGK,GOL,GTA,HAM,HBF,IAY,ICA,KMF,KZL,KZU,MKG,NAU,NJF,OGD,OJK,PAF,PEA,PIR,PKF,PTN,RBA,RJG,RPG,TAL,TCA,TRO,TTA,TUA,UP1,YKT
2021-02-11,0.092921,,0.050467,0.034488,0.884518,,0.115224,,3.498439,,0.039857,,1.691384,,1.056649,,,0.864025,,,,,,,1.637341,,,,0.055216,,0.045327,0.098061,,0.058594
2021-02-12,0.092783,,0.050391,0.034431,0.882562,,0.115042,,3.493908,,0.039799,,1.688788,,1.055015,,,0.86261,,,,,,,1.635285,,,,0.055129,,0.045256,0.097912,,0.058503
2021-02-15,0.091263,,0.049551,0.033853,0.869154,,0.113086,,3.438395,,0.039151,,1.660511,,1.037222,,,0.849355,,,,,,,1.612118,,,,0.054246,,0.044493,0.096298,,0.057508
2021-02-16,0.09061,,0.049193,0.033589,0.861682,,0.112248,,3.415815,,0.038877,,1.648354,,1.029731,,,0.843172,,,,,,,1.602157,,,,0.053817,,0.044167,0.095563,,0.057078
2021-02-17,0.090161,,0.048945,0.033416,0.857732,,0.111671,,3.398942,,0.038688,,1.639977,,1.024643,,,0.839169,,,,,,,1.595534,,,,0.053543,,0.043945,0.095074,,0.056788
2021-02-18,0.089762,,0.048721,0.033253,0.851363,,0.111153,,3.385138,,0.038513,,1.632466,,1.020075,,,0.835215,,,,,,,1.589527,,,,0.05326,,0.043744,0.094633,,0.056521
2021-02-19,0.088754,,0.048164,0.032872,0.843735,,0.109867,,3.347942,,0.038096,,1.613726,,1.008639,,,0.82642,,,,,,,1.574484,,,,0.052688,,0.043245,0.093528,,0.055867
2021-02-22,0.088433,,0.047976,0.032742,0.84131,,0.109441,,3.335747,,0.037956,,1.607461,,1.004905,,,0.823567,,,,,,,1.569761,,,,0.052513,,0.043078,0.093168,,0.055651
2021-02-23,0.089017,,0.048321,0.032988,0.853599,,0.110226,,3.355687,,0.038218,,1.618848,,1.011988,,,0.830937,,,,,,,1.578901,,,,0.053046,,0.043373,0.093827,,0.056067
2021-02-24,0.090877,,0.049338,0.033679,0.865255,,0.112557,,3.422482,,0.038989,,1.65325,,1.033025,,,0.846019,,,,,,,1.606102,,,,0.054004,,0.044269,0.095813,,0.05725
2021-02-25,0.092293,,0.050117,0.03423,0.876547,,0.114318,,3.473629,,0.03959,,1.679261,,1.049141,,,0.858714,,,,,,,1.626908,,,,0.054832,,0.044951,0.097336,,0.05816
2021-02-26,0.092224,,0.050075,0.034195,0.873459,,0.114227,,3.471238,,0.039553,,1.677878,,1.048321,,,0.857573,,,,,,,1.625902,,,,0.054745,,0.044917,0.097257,,0.058109
2021-03-01,0.093481,,0.050756,0.034669,0.88347,,0.115794,,3.520988,,0.04008,,1.700572,,1.062811,,,0.868769,,,,,,,1.644313,,,,0.055469,,0.045514,0.098597,,0.058911
2021-03-02,0.091345,,0.04958,0.033852,0.862949,,0.11309,,3.440928,,0.039172,,1.661158,,1.038143,,,0.848172,,,,,,,1.613081,,,,0.054161,,0.044484,0.096298,,0.057526
2021-03-03,0.090304,,0.049016,0.033473,0.857761,,0.111801,,3.406381,,0.038745,,1.642437,,1.026329,,,0.840068,,,,,,,1.598254,,,,0.053656,,0.043988,0.095196,,0.056882
2021-03-04,0.090751,,0.049258,0.033639,0.861124,,0.11233,,3.423487,,0.038923,,1.650472,,1.031469,,,0.844007,,,,,,,1.604663,,,,0.053918,,0.044194,0.095671,,0.057166
2021-03-05,0.091262,,0.049571,0.033855,0.865545,,0.113054,,3.444594,,0.039165,,1.660995,,1.038063,,,0.848915,,,,,,,1.613046,,,,0.054237,,0.044471,0.096294,,0.057534
2021-03-08,0.090956,,0.049402,0.033745,0.864363,,0.11267,,3.436032,,0.03903,,1.655347,,1.034698,,,0.846512,,,,,,,1.608875,,,,0.054089,,0.044317,0.095971,,0.057349
2021-03-09,0.091846,,0.049883,0.034085,0.87417,,0.113792,,3.472064,,0.039412,,1.671774,,1.044862,,,0.85486,,,,,,,1.621552,,,,0.054656,,0.04476,0.096927,,0.057935
2021-03-10,0.092534,,0.050251,0.034345,0.880434,,0.114654,,3.494728,,0.039705,,1.684201,,1.052496,,,0.861091,,,,,,,1.631188,,,,0.055077,,0.045098,0.097666,,0.058373
2021-03-11,0.092634,,0.050301,0.034374,0.879417,,0.114766,,3.496551,,0.039743,,1.686173,,1.053609,,,0.861158,,,,,,,1.632569,,,,0.055073,,0.045138,0.097764,,0.058427
2021-03-12,0.092114,,0.050017,0.034182,0.875807,,0.114117,,3.477606,,0.03952,,1.676583,,1.047719,,,0.856905,,,,,,,1.625876,,,,0.054797,,0.044884,0.097208,,0.058096
2021-03-15,0.092476,,0.050205,0.034307,0.877111,,0.11456,,3.490893,,0.039667,,1.682974,,1.051834,,,0.85894,,,,,,,1.631537,,,,0.054972,,0.045054,0.097588,,0.058318
2021-03-16,0.092764,,0.050355,0.034425,0.88095,,0.114921,,3.501347,,0.039789,,1.688226,,1.055168,,,0.861846,,,,,,,1.636227,,,,0.055183,,0.045197,0.097901,,0.058508
2021-03-17,0.092576,,0.05025,0.034348,0.878893,,0.11468,,3.493023,,0.039707,,1.684666,,1.053009,,,0.859949,,,,,,,1.633117,,,,0.055055,,0.045102,0.097696,,0.058379
2021-03-18,0.092981,,0.050469,0.034498,0.881531,,0.115189,,3.507637,,0.039879,,1.692086,,1.057674,,,0.863511,,,,,,,1.639607,,,,0.055278,,0.045301,0.098131,,0.058636
2021-03-19,0.092171,,0.050027,0.034162,0.86912,,0.114167,,3.475133,,0.03953,,1.677104,,1.048353,,,0.855112,,,,,,,1.626541,,,,0.054677,,0.0449,0.097259,,0.058094
2021-03-22,0.090022,,0.048852,0.033342,0.853453,,0.111438,,3.395679,,0.038602,,1.637129,,1.024157,,,0.836141,,,,,,,1.591381,,,,0.053485,,0.043833,0.094922,,0.056707
2021-03-23,0.09756,,0.05291,0.036289,0.92678,,0.12094,,3.682309,,0.041878,,1.775725,,1.111245,,,0.902027,,,,,,,1.710742,,,,0.057993,,0.047482,0.103,,0.061618
2021-03-24,0.096611,,0.052384,0.035928,0.916261,,0.119705,,3.648596,,0.041492,,1.756944,,1.100479,,,0.893848,,,,,,,1.696731,,,,0.057399,,0.047028,0.101933,,0.061019
2021-03-25,0.098301,,0.053313,0.036584,0.930959,,0.121882,,3.712363,,0.042227,,1.78828,,1.119926,,,0.908394,,,,,,,1.725508,,,,0.058346,,0.04786,0.103759,,0.062113
2021-03-26,0.097773,,0.053007,0.036389,0.930781,,0.121277,,3.692762,,0.04199,,1.778171,,1.114656,,,0.90467,,,,,,,1.715831,,,,0.058194,,0.047603,0.103235,,0.061789
2021-03-29,0.098239,,0.053265,0.03657,0.936986,,0.121862,,3.711103,,0.042186,,1.786608,,1.120044,,,0.909212,,,,,,,1.723492,,,,0.058525,,0.047828,0.103733,,0.062096
2021-03-30,0.099544,,0.054005,0.037083,0.947263,,0.123557,,3.763337,,0.042763,,1.81136,,1.135614,,,0.921204,,,,,,,1.743691,,,,0.059307,,0.048484,0.105189,,0.062962
2021-03-31,0.099999,,0.054266,0.037254,0.950366,,0.124132,,3.783068,,0.042955,,1.819625,,1.140847,,,0.92495,,,,,,,1.750502,,,,0.059553,,0.048706,0.105676,,0.063259
2021-04-01,0.099976,,0.054249,0.037239,0.950082,,0.124095,,3.779284,,0.042941,,1.819098,,1.140499,,,0.924676,,,,,,,1.750146,,,,0.059539,,0.04869,0.105642,,0.063238
2021-04-02,0.099795,,0.054149,0.03717,0.948514,,0.123868,,3.768672,,0.042863,,1.815683,,1.138456,,,0.925358,,,,,,,1.747585,,,,0.059438,,0.048602,0.105449,,0.063114
2021-04-05,0.098364,,0.053355,0.036632,0.939693,,0.12207,,3.718776,,0.042244,,1.789464,,1.122015,,,0.914015,,,,,,,1.726815,,,,0.05872,,0.047894,0.103911,,0.062212
2021-04-06,0.099617,,0.054064,0.037096,0.94695,,0.123666,,3.761574,,0.042778,,1.812323,,1.136453,,,0.923978,,,,,,,1.745063,,,,0.059346,,0.048513,0.105263,,0.062998
2021-04-07,0.100345,,0.054463,0.037387,0.956265,,0.124578,,3.789595,,0.04309,,1.825761,,1.144857,,,0.93127,,,,,,,1.755301,,,,0.059861,,0.048876,0.106051,,0.063471
2021-04-08,0.101042,,0.054845,0.037647,0.960785,,0.125449,,3.813903,,0.043388,,1.838593,,1.152877,,,0.937151,,,,,,,1.765936,,,,0.060244,,0.049218,0.106798,,0.063909
2021-04-09,0.101192,,0.054926,0.037707,0.963326,,0.125636,,3.818951,,0.043451,,1.840996,,1.15462,,,0.93858,,,,,,,1.767806,,,,0.060366,,0.049292,0.106959,,0.064006
2021-04-12,0.100649,,0.054621,0.037495,0.959033,,0.124948,,3.799687,,0.043209,,1.83081,,1.149596,,,0.933866,,,,,,,1.759736,,,,0.060074,,0.049018,0.106367,,0.063655
2021-04-13,0.101168,,0.054904,0.037667,0.959204,,0.125598,,3.815991,,0.043433,,1.840161,,1.155627,,,0.938227,,,,,,,1.767625,,,,0.060262,,0.049269,0.106922,,0.063972
2021-04-14,0.100549,,0.054561,0.03744,0.956185,,0.124823,,3.794376,,0.043161,,1.828919,,1.148453,,,0.933224,,,,,,,1.758223,,,,0.059952,,0.048963,0.106256,,0.063582
2021-04-15,0.1002,,0.054364,0.03729,0.951167,,0.12438,,3.77986,,0.043013,,1.822512,,1.144441,,,0.929388,,,,,,,1.753071,,,,0.059695,,0.048785,0.105877,,0.063348
2021-04-16,0.100032,,0.05427,0.03725,0.953785,,0.124166,,3.775246,,0.042937,,1.819337,,1.142511,,,0.928755,,,,,,,1.750523,,,,0.059686,,0.048704,0.105693,,0.063252
2021-04-19,0.101195,,0.054906,0.037693,0.963022,,0.125648,,3.817303,,0.043427,,1.840513,,1.155956,,,0.93864,,,,,,,1.768744,,,,0.060362,,0.049278,0.106943,,0.064
2021-04-20,0.101895,,0.055289,0.037958,0.968541,,0.126533,,3.842358,,0.043725,,1.853314,,1.164048,,,0.944666,,,,,,,1.779571,,,,0.060747,,0.049625,0.107698,,0.064442
2021-04-21,0.101727,,0.055195,0.037895,0.967775,,0.126319,,3.83676,,0.043652,,1.850166,,1.162218,,,0.943498,,,,,,,1.776981,,,,0.060686,,0.04954,0.107513,,0.064338
2021-04-22,0.102979,,0.055873,0.038391,0.981239,,0.1279,,3.884911,,0.044184,,1.873038,,1.176743,,,0.955575,,,,,,,1.795895,,,,0.06149,,0.050163,0.108859,,0.065165
2021-04-26,0.104929,,0.056922,0.039127,0.995776,,0.130354,,3.956345,,0.045008,,1.908468,,1.199283,,,0.973385,,,,,,,1.825124,,,,0.062656,,0.051123,0.110944,,0.066398
2021-04-27,0.10486,,0.056898,0.039079,0.993576,,0.130243,,3.952061,,0.044972,,1.907456,,1.198208,,,0.970982,,,,,,,1.823803,,,,0.06255,,0.051097,0.11084,,0.066342
2021-04-28,0.104201,,0.056543,0.038815,0.985833,,0.12941,,3.925993,,0.04469,,1.89535,,1.190607,,,0.964425,,,,,,,1.814541,,,,0.062099,,0.050769,0.11013,,0.065906
2021-04-29,0.102801,,0.055787,0.038293,0.975605,,0.127632,,3.875964,,0.044091,,1.8686,,1.174391,,,0.95464,,,,,,,1.794488,,,,0.061352,,0.050081,0.108626,,0.065005
2021-04-30,0.102905,,0.055841,0.038329,0.973768,,0.127766,,3.879499,,0.044132,,1.870556,,1.175583,,,0.955395,,,,,,,1.796052,,,,0.061403,,0.050132,0.108735,,0.065064
2021-05-03,0.103486,,0.056155,0.038557,0.980348,,0.1285,,3.901759,,0.044377,,1.881178,,1.182351,,,0.960759,,,,,,,1.803834,,,,0.061788,,0.050419,0.109358,,0.065445
2021-05-04,0.104614,,0.056765,0.03892,0.989473,,0.129866,,3.93634,,0.044775,,1.904055,,1.193426,,,0.969018,,,,,,,1.818148,,,,0.062374,,0.050923,0.110561,,0.066123
2021-05-05,0.105545,,0.057269,0.039269,0.995264,,0.131041,,3.96986,,0.045167,,1.921084,,1.204213,,,0.976872,,,,,,,1.832091,,,,0.062906,,0.05138,0.111561,,0.066709
2021-05-06,0.105536,,0.057261,0.039258,0.995594,,0.131027,,3.969009,,0.045157,,1.920778,,1.204094,,,0.976416,,,,,,,1.832026,,,,0.062858,,0.051371,0.111549,,0.066694
2021-05-07,0.10541,,0.057189,0.039232,0.99734,,0.130867,,3.966808,,0.045105,,1.918858,,1.202648,,,0.976282,,,,,,,1.830302,,,,0.062896,,0.051302,0.111411,,0.066659
2021-05-10,0.106962,,0.058043,0.039821,1.007963,,0.132842,,4.023346,,0.045771,,1.947191,,1.220778,,,0.988816,,,,,,,1.853045,,,,0.063751,,0.052065,0.113087,,0.067666
2021-05-11,0.107685,,0.058439,0.040102,1.016756,,0.13374,,4.050773,,0.04608,,1.960247,,1.229161,,,0.995196,,,,,,,1.863403,,,,0.064191,,0.052423,0.113861,,0.068143
2021-05-12,0.108186,,0.058713,0.040286,1.020911,,0.134376,,4.068901,,0.046293,,1.969381,,1.234936,,,0.999609,,,,,,,1.869581,,,,0.064486,,0.052671,0.114401,,0.068457
2021-05-17,0.108175,,0.058692,0.040289,1.021527,,0.134358,,4.069941,,0.046287,,1.968775,,1.235103,,,0.999753,,,,,,,1.869711,,,,0.06452,,0.052662,0.114384,,0.068459
2021-05-18,0.109877,,0.059622,0.040942,1.03771,,0.136476,,4.134379,,0.047013,,1.999643,,1.25485,,,1.013579,,,,,,,1.896182,,,,0.065526,,0.053502,0.116201,,0.06959
2021-05-20,0.110145,,0.059763,0.04105,1.04065,,0.136813,,4.145352,,0.047127,,2.004639,,1.258003,,,1.016289,,,,,,,1.900477,,,,0.065727,,0.053632,0.116486,,0.06977
